n_neighbors,weights,metric,accuracy_train,accuracy_test
15,uniform,minkowski,0.9883527454242929,0.9735099337748344
15,distance,euclidean,1.0,0.9933774834437086
15,distance,manhattan,1.0,0.9933774834437086
15,distance,chebyshev,1.0,0.9801324503311258
15,distance,minkowski,1.0,0.9933774834437086
16,uniform,euclidean,0.9883527454242929,0.9735099337748344
16,uniform,manhattan,0.9866888519134775,0.9602649006622517
16,uniform,chebyshev,0.9800332778702163,0.9602649006622517
16,uniform,minkowski,0.9883527454242929,0.9735099337748344
16,distance,euclidean,1.0,1.0
16,distance,manhattan,1.0,0.9867549668874173
16,distance,chebyshev,1.0,0.9735099337748344
16,distance,minkowski,1.0,1.0
17,uniform,euclidean,0.9900166389351082,0.9735099337748344
17,uniform,manhattan,0.9850249584026622,0.9536423841059603
17,uniform,chebyshev,0.9767054908485857,0.9536423841059603
17,uniform,minkowski,0.9900166389351082,0.9735099337748344
17,distance,euclidean,1.0,0.9867549668874173
17,distance,manhattan,1.0,0.9801324503311258
17,distance,chebyshev,1.0,0.9735099337748344
17,distance,minkowski,1.0,0.9867549668874173
18,uniform,euclidean,0.9883527454242929,0.9735099337748344
18,uniform,manhattan,0.9833610648918469,0.9536423841059603
18,uniform,chebyshev,0.9767054908485857,0.9470198675496688
18,uniform,minkowski,0.9883527454242929,0.9735099337748344
18,distance,euclidean,1.0,0.9933774834437086
18,distance,manhattan,1.0,0.9867549668874173
18,distance,chebyshev,1.0,0.9735099337748344
18,distance,minkowski,1.0,0.9933774834437086
19,uniform,euclidean,0.9866888519134775,0.9735099337748344
19,uniform,manhattan,0.9800332778702163,0.9536423841059603
19,uniform,chebyshev,0.9800332778702163,0.9470198675496688
19,uniform,minkowski,0.9866888519134775,0.9735099337748344
19,distance,euclidean,1.0,0.9933774834437086
19,distance,manhattan,1.0,0.9735099337748344
19,distance,chebyshev,1.0,0.9735099337748344
19,distance,minkowski,1.0,0.9933774834437086
20,uniform,euclidean,0.9866888519134775,0.9668874172185431
20,uniform,manhattan,0.9800332778702163,0.9470198675496688
20,uniform,chebyshev,0.978369384359401,0.9536423841059603
20,uniform,minkowski,0.9866888519134775,0.9668874172185431
20,distance,euclidean,1.0,1.0
20,distance,manhattan,1.0,0.9867549668874173
20,distance,chebyshev,1.0,0.9735099337748344
20,distance,minkowski,1.0,1.0
