n_neighbors,weights,metric,accuracy_train,accuracy_test
7,uniform,euclidean,0.9900166389351082,0.9801324503311258
7,uniform,manhattan,0.9933444259567388,0.9867549668874173
7,uniform,chebyshev,0.9700499168053245,0.9867549668874173
7,uniform,minkowski,0.9900166389351082,0.9801324503311258
7,distance,euclidean,1.0,1.0
7,distance,manhattan,1.0,1.0
7,distance,chebyshev,1.0,0.9867549668874173
7,distance,minkowski,1.0,1.0
8,uniform,euclidean,0.9883527454242929,0.9801324503311258
8,uniform,manhattan,0.9900166389351082,0.9867549668874173
8,uniform,chebyshev,0.9733777038269551,0.9735099337748344
8,uniform,minkowski,0.9883527454242929,0.9801324503311258
8,distance,euclidean,1.0,1.0
8,distance,manhattan,1.0,1.0
8,distance,chebyshev,1.0,0.9867549668874173
8,distance,minkowski,1.0,1.0
9,uniform,euclidean,0.9883527454242929,0.9867549668874173
9,uniform,manhattan,0.9900166389351082,0.9867549668874173
9,uniform,chebyshev,0.9700499168053245,0.9602649006622517
9,uniform,minkowski,0.9883527454242929,0.9867549668874173
9,distance,euclidean,1.0,1.0
9,distance,manhattan,1.0,1.0
9,distance,chebyshev,1.0,0.9867549668874173
9,distance,minkowski,1.0,1.0
10,uniform,euclidean,0.9883527454242929,0.9867549668874173
10,uniform,manhattan,0.9883527454242929,0.9735099337748344
10,uniform,chebyshev,0.9683860232945092,0.9470198675496688
10,uniform,minkowski,0.9883527454242929,0.9867549668874173
10,distance,euclidean,1.0,1.0
10,distance,manhattan,1.0,0.9933774834437086
10,distance,chebyshev,1.0,0.9801324503311258
10,distance,minkowski,1.0,1.0
11,uniform,euclidean,0.9883527454242929,0.9867549668874173
11,uniform,manhattan,0.9866888519134775,0.9735099337748344
11,uniform,chebyshev,0.9667221297836939,0.9470198675496688
11,uniform,minkowski,0.9883527454242929,0.9867549668874173
11,distance,euclidean,1.0,0.9933774834437086
11,distance,manhattan,1.0,0.9933774834437086
11,distance,chebyshev,1.0,0.9735099337748344
11,distance,minkowski,1.0,0.9933774834437086
12,uniform,euclidean,0.9850249584026622,0.9602649006622517
12,uniform,manhattan,0.9833610648918469,0.9735099337748344
12,uniform,chebyshev,0.9650582362728786,0.9470198675496688
12,uniform,minkowski,0.9850249584026622,0.9602649006622517
12,distance,euclidean,1.0,0.9933774834437086
12,distance,manhattan,1.0,0.9933774834437086
12,distance,chebyshev,1.0,0.9602649006622517
12,distance,minkowski,1.0,0.9933774834437086
13,uniform,euclidean,0.9833610648918469,0.9536423841059603
13,uniform,manhattan,0.9850249584026622,0.9668874172185431
13,uniform,chebyshev,0.9683860232945092,0.9470198675496688
13,uniform,minkowski,0.9833610648918469,0.9536423841059603
13,distance,euclidean,1.0,0.9933774834437086
13,distance,manhattan,1.0,0.9933774834437086
13,distance,chebyshev,1.0,0.9536423841059603
13,distance,minkowski,1.0,0.9933774834437086
14,uniform,euclidean,0.9816971713810316,0.9602649006622517
14,uniform,manhattan,0.9816971713810316,0.9668874172185431
14,uniform,chebyshev,0.9700499168053245,0.9470198675496688
14,uniform,minkowski,0.9816971713810316,0.9602649006622517
14,distance,euclidean,1.0,0.9867549668874173
