n_neighbors,weights,metric,accuracy_train,accuracy_test
16,uniform,chebyshev,0.9099804305283757,0.8984375
16,uniform,minkowski,0.9158512720156555,0.921875
16,distance,euclidean,1.0,0.953125
16,distance,manhattan,1.0,0.953125
16,distance,chebyshev,1.0,0.921875
16,distance,minkowski,1.0,0.953125
17,uniform,euclidean,0.9178082191780822,0.9140625
17,uniform,manhattan,0.9315068493150684,0.9375
17,uniform,chebyshev,0.9001956947162426,0.890625
17,uniform,minkowski,0.9178082191780822,0.9140625
17,distance,euclidean,1.0,0.953125
17,distance,manhattan,1.0,0.953125
17,distance,chebyshev,1.0,0.921875
17,distance,minkowski,1.0,0.953125
18,uniform,euclidean,0.9158512720156555,0.9140625
18,uniform,manhattan,0.923679060665362,0.9296875
18,uniform,chebyshev,0.9041095890410958,0.8828125
18,uniform,minkowski,0.9158512720156555,0.9140625
18,distance,euclidean,1.0,0.9453125
18,distance,manhattan,1.0,0.9375
18,distance,chebyshev,1.0,0.921875
18,distance,minkowski,1.0,0.9453125
19,uniform,euclidean,0.9178082191780822,0.9140625
19,uniform,manhattan,0.9217221135029354,0.921875
19,uniform,chebyshev,0.9041095890410958,0.8828125
19,uniform,minkowski,0.9178082191780822,0.9140625
19,distance,euclidean,1.0,0.9453125
19,distance,manhattan,1.0,0.9375
19,distance,chebyshev,1.0,0.9140625
19,distance,minkowski,1.0,0.9453125
20,uniform,euclidean,0.9158512720156555,0.9140625
20,uniform,manhattan,0.9158512720156555,0.9140625
20,uniform,chebyshev,0.898238747553816,0.890625
20,uniform,minkowski,0.9158512720156555,0.9140625
20,distance,euclidean,1.0,0.9296875
20,distance,manhattan,1.0,0.9296875
20,distance,chebyshev,1.0,0.9140625
20,distance,minkowski,1.0,0.9296875
