n_neighbors,weights,metric,accuracy_train,accuracy_test
17,uniform,minkowski,0.905811623246493,0.912
17,distance,euclidean,1.0,0.968
17,distance,manhattan,1.0,0.952
17,distance,chebyshev,1.0,0.936
17,distance,minkowski,1.0,0.968
18,uniform,euclidean,0.9138276553106213,0.912
18,uniform,manhattan,0.9198396793587175,0.92
18,uniform,chebyshev,0.8917835671342685,0.856
18,uniform,minkowski,0.9138276553106213,0.912
18,distance,euclidean,1.0,0.968
18,distance,manhattan,1.0,0.952
18,distance,chebyshev,1.0,0.912
18,distance,minkowski,1.0,0.968
19,uniform,euclidean,0.8977955911823647,0.912
19,uniform,manhattan,0.9198396793587175,0.928
19,uniform,chebyshev,0.8937875751503006,0.856
19,uniform,minkowski,0.8977955911823647,0.912
19,distance,euclidean,1.0,0.968
19,distance,manhattan,1.0,0.952
19,distance,chebyshev,1.0,0.928
19,distance,minkowski,1.0,0.968
20,uniform,euclidean,0.9038076152304609,0.896
20,uniform,manhattan,0.9138276553106213,0.912
20,uniform,chebyshev,0.8937875751503006,0.848
20,uniform,minkowski,0.9038076152304609,0.896
20,distance,euclidean,1.0,0.976
20,distance,manhattan,1.0,0.944
20,distance,chebyshev,1.0,0.904
20,distance,minkowski,1.0,0.976
