n_neighbors,weights,metric,accuracy_train,accuracy_test
17,uniform,minkowski,0.8096192384769539,0.744
17,distance,euclidean,1.0,0.792
17,distance,manhattan,1.0,0.808
17,distance,chebyshev,1.0,0.776
17,distance,minkowski,1.0,0.792
18,uniform,euclidean,0.8036072144288577,0.728
18,uniform,manhattan,0.8136272545090181,0.792
18,uniform,chebyshev,0.7555110220440882,0.72
18,uniform,minkowski,0.8036072144288577,0.728
18,distance,euclidean,1.0,0.784
18,distance,manhattan,1.0,0.816
18,distance,chebyshev,1.0,0.768
18,distance,minkowski,1.0,0.784
19,uniform,euclidean,0.7915831663326653,0.736
19,uniform,manhattan,0.8136272545090181,0.784
19,uniform,chebyshev,0.7454909819639278,0.704
19,uniform,minkowski,0.7915831663326653,0.736
19,distance,euclidean,1.0,0.784
19,distance,manhattan,1.0,0.8
19,distance,chebyshev,1.0,0.784
19,distance,minkowski,1.0,0.784
20,uniform,euclidean,0.7915831663326653,0.744
20,uniform,manhattan,0.8076152304609219,0.792
20,uniform,chebyshev,0.751503006012024,0.728
20,uniform,minkowski,0.7915831663326653,0.744
20,distance,euclidean,1.0,0.8
20,distance,manhattan,1.0,0.824
20,distance,chebyshev,1.0,0.784
20,distance,minkowski,1.0,0.8
