Chanel_Name,band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
Left,10,6,uniform,manhattan,0.696652719665272,0.7166666666666667
Left,10,6,uniform,chebyshev,0.6778242677824268,0.5916666666666667
Left,10,6,uniform,minkowski,0.698744769874477,0.6166666666666667
Left,10,6,distance,euclidean,1.0,0.675
Left,10,6,distance,manhattan,1.0,0.7416666666666667
Left,10,6,distance,chebyshev,1.0,0.625
Left,10,6,distance,minkowski,1.0,0.675
Left,10,7,uniform,euclidean,0.6778242677824268,0.6416666666666667
Left,10,7,uniform,manhattan,0.6861924686192469,0.6916666666666667
Left,10,7,uniform,chebyshev,0.6694560669456067,0.55
Left,10,7,uniform,minkowski,0.6778242677824268,0.6416666666666667
Left,10,7,distance,euclidean,1.0,0.6916666666666667
Left,10,7,distance,manhattan,1.0,0.7166666666666667
Left,10,7,distance,chebyshev,1.0,0.625
Left,10,7,distance,minkowski,1.0,0.6916666666666667
Left,10,8,uniform,euclidean,0.6631799163179917,0.6416666666666667
Left,10,8,uniform,manhattan,0.6715481171548117,0.7
Left,10,8,uniform,chebyshev,0.6506276150627615,0.5916666666666667
Left,10,8,uniform,minkowski,0.6631799163179917,0.6416666666666667
Left,10,8,distance,euclidean,1.0,0.6916666666666667
Left,10,8,distance,manhattan,1.0,0.75
Left,10,8,distance,chebyshev,1.0,0.625
Left,10,8,distance,minkowski,1.0,0.6916666666666667
Left,10,9,uniform,euclidean,0.6569037656903766,0.6333333333333333
Left,10,9,uniform,manhattan,0.6757322175732218,0.6833333333333333
Left,10,9,uniform,chebyshev,0.6359832635983264,0.525
Left,10,9,uniform,minkowski,0.6569037656903766,0.6333333333333333
Left,10,9,distance,euclidean,1.0,0.6833333333333333
Left,10,9,distance,manhattan,1.0,0.7416666666666667
Left,10,9,distance,chebyshev,1.0,0.5833333333333334
Left,10,9,distance,minkowski,1.0,0.6833333333333333
Left,10,10,uniform,euclidean,0.6317991631799164,0.6416666666666667
Left,10,10,uniform,manhattan,0.6736401673640168,0.6666666666666666
Left,10,10,uniform,chebyshev,0.6359832635983264,0.5166666666666667
Left,10,10,uniform,minkowski,0.6317991631799164,0.6416666666666667
Left,10,10,distance,euclidean,1.0,0.7
Left,10,10,distance,manhattan,1.0,0.725
Left,10,10,distance,chebyshev,1.0,0.5916666666666667
Left,10,10,distance,minkowski,1.0,0.7
