Chanel_Name,band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
Left,15,13,uniform,euclidean,0.8200836820083682,0.7333333333333333
Left,15,13,uniform,manhattan,0.8221757322175732,0.7333333333333333
Left,15,13,uniform,chebyshev,0.7552301255230126,0.625
Left,15,13,uniform,minkowski,0.8200836820083682,0.7333333333333333
Left,15,13,distance,euclidean,1.0,0.8333333333333334
Left,15,13,distance,manhattan,1.0,0.8166666666666667
Left,15,13,distance,chebyshev,1.0,0.7166666666666667
Left,15,13,distance,minkowski,1.0,0.8333333333333334
Left,15,14,uniform,euclidean,0.8117154811715481,0.75
Left,15,14,uniform,manhattan,0.8138075313807531,0.725
Left,15,14,uniform,chebyshev,0.7531380753138075,0.6166666666666667
Left,15,14,uniform,minkowski,0.8117154811715481,0.75
Left,15,14,distance,euclidean,1.0,0.8333333333333334
Left,15,14,distance,manhattan,1.0,0.8083333333333333
Left,15,14,distance,chebyshev,1.0,0.7166666666666667
Left,15,14,distance,minkowski,1.0,0.8333333333333334
Left,15,15,uniform,euclidean,0.797071129707113,0.7166666666666667
Left,15,15,uniform,manhattan,0.7949790794979079,0.7083333333333334
Left,15,15,uniform,chebyshev,0.7426778242677824,0.6166666666666667
Left,15,15,uniform,minkowski,0.797071129707113,0.7166666666666667
Left,15,15,distance,euclidean,1.0,0.8166666666666667
Left,15,15,distance,manhattan,1.0,0.8
Left,15,15,distance,chebyshev,1.0,0.7166666666666667
Left,15,15,distance,minkowski,1.0,0.8166666666666667
Left,15,16,uniform,euclidean,0.7845188284518828,0.7333333333333333
Left,15,16,uniform,manhattan,0.7677824267782427,0.7
Left,15,16,uniform,chebyshev,0.7447698744769874,0.6
Left,15,16,uniform,minkowski,0.7845188284518828,0.7333333333333333
Left,15,16,distance,euclidean,1.0,0.8166666666666667
Left,15,16,distance,manhattan,1.0,0.8
Left,15,16,distance,chebyshev,1.0,0.7083333333333334
Left,15,16,distance,minkowski,1.0,0.8166666666666667
Left,15,17,uniform,euclidean,0.7824267782426778,0.725
Left,15,17,uniform,manhattan,0.7698744769874477,0.7
Left,15,17,uniform,chebyshev,0.7301255230125523,0.6083333333333333
Left,15,17,uniform,minkowski,0.7824267782426778,0.725
Left,15,17,distance,euclidean,1.0,0.8
Left,15,17,distance,manhattan,1.0,0.8166666666666667
Left,15,17,distance,chebyshev,1.0,0.6833333333333333
Left,15,17,distance,minkowski,1.0,0.8
Left,15,18,uniform,euclidean,0.7510460251046025,0.675
Left,15,18,uniform,manhattan,0.7594142259414226,0.675
Left,15,18,uniform,chebyshev,0.7154811715481172,0.575
Left,15,18,uniform,minkowski,0.7510460251046025,0.675
Left,15,18,distance,euclidean,1.0,0.8
Left,15,18,distance,manhattan,1.0,0.8
Left,15,18,distance,chebyshev,1.0,0.7
Left,15,18,distance,minkowski,1.0,0.8
Left,15,19,uniform,euclidean,0.7447698744769874,0.6833333333333333
Left,15,19,uniform,manhattan,0.7510460251046025,0.6666666666666666
Left,15,19,uniform,chebyshev,0.7112970711297071,0.6083333333333333
Left,15,19,uniform,minkowski,0.7447698744769874,0.6833333333333333
Left,15,19,distance,euclidean,1.0,0.8
Left,15,19,distance,manhattan,1.0,0.7833333333333333
Left,15,19,distance,chebyshev,1.0,0.7083333333333334
Left,15,19,distance,minkowski,1.0,0.8
Left,15,20,uniform,euclidean,0.7364016736401674,0.675
Left,15,20,uniform,manhattan,0.7154811715481172,0.6583333333333333
Left,15,20,uniform,chebyshev,0.7050209205020921,0.6
Left,15,20,uniform,minkowski,0.7364016736401674,0.675
Left,15,20,distance,euclidean,1.0,0.8
Left,15,20,distance,manhattan,1.0,0.7583333333333333
Left,15,20,distance,chebyshev,1.0,0.7
Left,15,20,distance,minkowski,1.0,0.8
Right,15,1,uniform,euclidean,1.0,0.8833333333333333
Right,15,1,uniform,manhattan,1.0,0.9083333333333333
Right,15,1,uniform,chebyshev,1.0,0.85
Right,15,1,uniform,minkowski,1.0,0.8833333333333333
Right,15,1,distance,euclidean,1.0,0.8833333333333333
Right,15,1,distance,manhattan,1.0,0.9083333333333333
Right,15,1,distance,chebyshev,1.0,0.85
Right,15,1,distance,minkowski,1.0,0.8833333333333333
Right,15,2,uniform,euclidean,0.9497907949790795,0.8833333333333333
Right,15,2,uniform,manhattan,0.9435146443514645,0.8833333333333333
Right,15,2,uniform,chebyshev,0.9581589958158996,0.8083333333333333
Right,15,2,uniform,minkowski,0.9497907949790795,0.8833333333333333
Right,15,2,distance,euclidean,1.0,0.8833333333333333
Right,15,2,distance,manhattan,1.0,0.9083333333333333
Right,15,2,distance,chebyshev,1.0,0.8416666666666667
Right,15,2,distance,minkowski,1.0,0.8833333333333333
Right,15,3,uniform,euclidean,0.9497907949790795,0.8333333333333334
Right,15,3,uniform,manhattan,0.9456066945606695,0.85
Right,15,3,uniform,chebyshev,0.9184100418410042,0.8083333333333333
Right,15,3,uniform,minkowski,0.9497907949790795,0.8333333333333334
Right,15,3,distance,euclidean,1.0,0.8583333333333333
Right,15,3,distance,manhattan,1.0,0.875
Right,15,3,distance,chebyshev,1.0,0.825
Right,15,3,distance,minkowski,1.0,0.8583333333333333
Right,15,4,uniform,euclidean,0.9288702928870293,0.8416666666666667
Right,15,4,uniform,manhattan,0.9225941422594143,0.8333333333333334
Right,15,4,uniform,chebyshev,0.9058577405857741,0.8083333333333333
Right,15,4,uniform,minkowski,0.9288702928870293,0.8416666666666667
Right,15,4,distance,euclidean,1.0,0.85
Right,15,4,distance,manhattan,1.0,0.85
Right,15,4,distance,chebyshev,1.0,0.8333333333333334
Right,15,4,distance,minkowski,1.0,0.85
Right,15,5,uniform,euclidean,0.9225941422594143,0.85
Right,15,5,uniform,manhattan,0.9184100418410042,0.8416666666666667
Right,15,5,uniform,chebyshev,0.8849372384937239,0.775
Right,15,5,uniform,minkowski,0.9225941422594143,0.85
Right,15,5,distance,euclidean,1.0,0.85
Right,15,5,distance,manhattan,1.0,0.85
Right,15,5,distance,chebyshev,1.0,0.8166666666666667
Right,15,5,distance,minkowski,1.0,0.85
Right,15,6,uniform,euclidean,0.9100418410041841,0.85
Right,15,6,uniform,manhattan,0.9037656903765691,0.8583333333333333
Right,15,6,uniform,chebyshev,0.8640167364016736,0.7416666666666667
Right,15,6,uniform,minkowski,0.9100418410041841,0.85
Right,15,6,distance,euclidean,1.0,0.85
Right,15,6,distance,manhattan,1.0,0.8583333333333333
Right,15,6,distance,chebyshev,1.0,0.8166666666666667
Right,15,6,distance,minkowski,1.0,0.85
Right,15,7,uniform,euclidean,0.9184100418410042,0.825
Right,15,7,uniform,manhattan,0.897489539748954,0.8333333333333334
Right,15,7,uniform,chebyshev,0.8682008368200836,0.7583333333333333
Right,15,7,uniform,minkowski,0.9184100418410042,0.825
Right,15,7,distance,euclidean,1.0,0.8333333333333334
Right,15,7,distance,manhattan,1.0,0.85
Right,15,7,distance,chebyshev,1.0,0.8
Right,15,7,distance,minkowski,1.0,0.8333333333333334
Right,15,8,uniform,euclidean,0.8891213389121339,0.775
Right,15,8,uniform,manhattan,0.8849372384937239,0.7916666666666666
Right,15,8,uniform,chebyshev,0.8368200836820083,0.7333333333333333
Right,15,8,uniform,minkowski,0.8891213389121339,0.775
Right,15,8,distance,euclidean,1.0,0.8333333333333334
Right,15,8,distance,manhattan,1.0,0.85
Right,15,8,distance,chebyshev,1.0,0.8
Right,15,8,distance,minkowski,1.0,0.8333333333333334
Right,15,9,uniform,euclidean,0.8870292887029289,0.7666666666666667
Right,15,9,uniform,manhattan,0.8828451882845189,0.7583333333333333
Right,15,9,uniform,chebyshev,0.8221757322175732,0.7666666666666667
Right,15,9,uniform,minkowski,0.8870292887029289,0.7666666666666667
Right,15,9,distance,euclidean,1.0,0.8416666666666667
Right,15,9,distance,manhattan,1.0,0.8333333333333334
Right,15,9,distance,chebyshev,1.0,0.8166666666666667
Right,15,9,distance,minkowski,1.0,0.8416666666666667
Right,15,10,uniform,euclidean,0.8702928870292888,0.7333333333333333
Right,15,10,uniform,manhattan,0.8786610878661087,0.7416666666666667
Right,15,10,uniform,chebyshev,0.8242677824267782,0.7333333333333333
Right,15,10,uniform,minkowski,0.8702928870292888,0.7333333333333333
Right,15,10,distance,euclidean,1.0,0.8416666666666667
Right,15,10,distance,manhattan,1.0,0.8416666666666667
Right,15,10,distance,chebyshev,1.0,0.8
Right,15,10,distance,minkowski,1.0,0.8416666666666667
Right,15,11,uniform,euclidean,0.8556485355648535,0.7416666666666667
Right,15,11,uniform,manhattan,0.8577405857740585,0.7583333333333333
Right,15,11,uniform,chebyshev,0.7949790794979079,0.7166666666666667
Right,15,11,uniform,minkowski,0.8556485355648535,0.7416666666666667
Right,15,11,distance,euclidean,1.0,0.8416666666666667
Right,15,11,distance,manhattan,1.0,0.8333333333333334
Right,15,11,distance,chebyshev,1.0,0.8083333333333333
Right,15,11,distance,minkowski,1.0,0.8416666666666667
Right,15,12,uniform,euclidean,0.8493723849372385,0.7416666666666667
Right,15,12,uniform,manhattan,0.8368200836820083,0.7333333333333333
Right,15,12,uniform,chebyshev,0.7824267782426778,0.7
Right,15,12,uniform,minkowski,0.8493723849372385,0.7416666666666667
Right,15,12,distance,euclidean,1.0,0.8416666666666667
Right,15,12,distance,manhattan,1.0,0.825
Right,15,12,distance,chebyshev,1.0,0.7666666666666667
Right,15,12,distance,minkowski,1.0,0.8416666666666667
Right,15,13,uniform,euclidean,0.8221757322175732,0.7583333333333333
Right,15,13,uniform,manhattan,0.8179916317991632,0.7416666666666667
Right,15,13,uniform,chebyshev,0.7510460251046025,0.6833333333333333
Right,15,13,uniform,minkowski,0.8221757322175732,0.7583333333333333
Right,15,13,distance,euclidean,1.0,0.825
Right,15,13,distance,manhattan,1.0,0.825
Right,15,13,distance,chebyshev,1.0,0.775
Right,15,13,distance,minkowski,1.0,0.825
Right,15,14,uniform,euclidean,0.8075313807531381,0.75
Right,15,14,uniform,manhattan,0.8075313807531381,0.7416666666666667
Right,15,14,uniform,chebyshev,0.7552301255230126,0.6833333333333333
Right,15,14,uniform,minkowski,0.8075313807531381,0.75
Right,15,14,distance,euclidean,1.0,0.825
Right,15,14,distance,manhattan,1.0,0.8166666666666667
Right,15,14,distance,chebyshev,1.0,0.7833333333333333
Right,15,14,distance,minkowski,1.0,0.825
Right,15,15,uniform,euclidean,0.799163179916318,0.7416666666666667
Right,15,15,uniform,manhattan,0.799163179916318,0.7416666666666667
Right,15,15,uniform,chebyshev,0.7468619246861925,0.6583333333333333
Right,15,15,uniform,minkowski,0.799163179916318,0.7416666666666667
Right,15,15,distance,euclidean,1.0,0.825
Right,15,15,distance,manhattan,1.0,0.8166666666666667
Right,15,15,distance,chebyshev,1.0,0.7583333333333333
Right,15,15,distance,minkowski,1.0,0.825
Right,15,16,uniform,euclidean,0.7949790794979079,0.725
Right,15,16,uniform,manhattan,0.7928870292887029,0.7166666666666667
Right,15,16,uniform,chebyshev,0.7322175732217573,0.6583333333333333
Right,15,16,uniform,minkowski,0.7949790794979079,0.725
Right,15,16,distance,euclidean,1.0,0.8333333333333334
Right,15,16,distance,manhattan,1.0,0.8166666666666667
Right,15,16,distance,chebyshev,1.0,0.75
Right,15,16,distance,minkowski,1.0,0.8333333333333334
Right,15,17,uniform,euclidean,0.7866108786610879,0.6916666666666667
Right,15,17,uniform,manhattan,0.799163179916318,0.6833333333333333
Right,15,17,uniform,chebyshev,0.7196652719665272,0.6333333333333333
Right,15,17,uniform,minkowski,0.7866108786610879,0.6916666666666667
Right,15,17,distance,euclidean,1.0,0.825
Right,15,17,distance,manhattan,1.0,0.8166666666666667
Right,15,17,distance,chebyshev,1.0,0.725
Right,15,17,distance,minkowski,1.0,0.825
Right,15,18,uniform,euclidean,0.7677824267782427,0.6916666666666667
Right,15,18,uniform,manhattan,0.7698744769874477,0.6833333333333333
Right,15,18,uniform,chebyshev,0.7196652719665272,0.6333333333333333
Right,15,18,uniform,minkowski,0.7677824267782427,0.6916666666666667
Right,15,18,distance,euclidean,1.0,0.8083333333333333
Right,15,18,distance,manhattan,1.0,0.8
Right,15,18,distance,chebyshev,1.0,0.7333333333333333
Right,15,18,distance,minkowski,1.0,0.8083333333333333
Right,15,19,uniform,euclidean,0.7468619246861925,0.6916666666666667
Right,15,19,uniform,manhattan,0.7656903765690377,0.6833333333333333
Right,15,19,uniform,chebyshev,0.7175732217573222,0.625
Right,15,19,uniform,minkowski,0.7468619246861925,0.6916666666666667
Right,15,19,distance,euclidean,1.0,0.8166666666666667
Right,15,19,distance,manhattan,1.0,0.7833333333333333
Right,15,19,distance,chebyshev,1.0,0.7083333333333334
Right,15,19,distance,minkowski,1.0,0.8166666666666667
Right,15,20,uniform,euclidean,0.7322175732217573,0.6833333333333333
Right,15,20,uniform,manhattan,0.7426778242677824,0.6666666666666666
Right,15,20,uniform,chebyshev,0.7050209205020921,0.6166666666666667
Right,15,20,uniform,minkowski,0.7322175732217573,0.6833333333333333
Right,15,20,distance,euclidean,1.0,0.8083333333333333
Right,15,20,distance,manhattan,1.0,0.7833333333333333
Right,15,20,distance,chebyshev,1.0,0.7083333333333334
Right,15,20,distance,minkowski,1.0,0.8083333333333333
